total_steps,episode,episode_reward,win,team_hp,opp_hp,fainted_self,fainted_opp,intent_agent,intent_expert,intent_match,ep_intent_total,ep_intent_matches,ep_imitation_accuracy,ep_turns,bias_mean,bias_abs_mean,bias_std,bias_mean_normalised,bias_abs_mean_normalised,bias_std_normalised,average_discounted_return,bias_segments
1,1,23.0,True,0.24089635854341737,0.0,4,6,ATTACK,ATTACK,1,29,26,0.896551724137931,19,9.983258045191683,9.983258045191683,2.915013386804805,1.0843378538203945,1.0843378538203945,0.3166160130688029,9.206778136554174,"{'bias_segment_0_end': {'mean': 1.0843378538203945, 'abs_mean': 1.0843378538203945, 'std': 0.3166160130688029}}"
1,2,25.0,True,0.3333333333333333,0.0,4,6,ATTACK,ATTACK,1,25,25,1.0,17,6.3063466431478385,6.3063466431478385,2.671322746780603,0.5247741601401884,0.5247741601401884,0.22229053209885674,12.017258322062121,"{'bias_segment_0_end': {'mean': 0.5247741601401884, 'abs_mean': 0.5247741601401884, 'std': 0.22229053209885674}}"
1,3,12.0,False,0.0,0.14333333333333334,6,5,SWITCH,ATTACK,0,32,22,0.6875,22,14.31433226945867,14.31433226945867,3.080357705790987,18.27056677692692,18.27056677692692,3.9317154374399608,0.7834640514565534,"{'bias_segment_0_end': {'mean': 18.27056677692692, 'abs_mean': 18.27056677692692, 'std': 3.9317154374399608}}"
1,4,8.0,False,0.0,0.0,6,4,SWITCH,ATTACK,0,22,15,0.6818181818181818,14,15.862461545850017,15.862461545850017,3.578995480808965,1665.999219089545,1665.999219089545,375.8939719991126,-0.009521289904636764,"{'bias_segment_0_end': {'mean': 1665.999219089545, 'abs_mean': 1665.999219089545, 'std': 375.8939719991126}}"
1,5,20.0,True,0.16666666666666666,0.0,5,6,SWITCH,ATTACK,0,32,26,0.8125,22,9.523780729610113,9.523780729610113,2.1719307301808857,1.447992068725981,1.447992068725981,0.3302195378507942,6.577232662599894,"{'bias_segment_0_end': {'mean': 1.447992068725981, 'abs_mean': 1.447992068725981, 'std': 0.3302195378507942}}"
1,6,18.0,True,0.4270462633451957,0.0,3,6,ATTACK,ATTACK,1,24,21,0.875,16,9.849238952884681,9.849238952884681,1.9089707697421783,1.2723394364576495,1.2723394364576495,0.24660370258115377,7.7410466662152535,"{'bias_segment_0_end': {'mean': 1.2723394364576495, 'abs_mean': 1.2723394364576495, 'std': 0.24660370258115377}}"
1,7,19.0,False,0.0,0.005,6,5,SWITCH,ATTACK,0,29,24,0.8275862068965517,19,10.984889431443735,10.984889431443735,3.230550518521557,1.9982115888154388,1.9982115888154388,0.5876548439245494,5.49736048621142,"{'bias_segment_0_end': {'mean': 1.9982115888154388, 'abs_mean': 1.9982115888154388, 'std': 0.5876548439245494}}"
1,8,13.0,True,0.009079118028534372,0.0,5,6,SWITCH,ATTACK,0,31,22,0.7096774193548387,21,16.464190661767525,16.464190661767525,2.1910154252144727,7.365611947871385,7.365611947871385,0.9801981600836066,2.235278043194438,"{'bias_segment_0_end': {'mean': 7.365611947871385, 'abs_mean': 7.365611947871385, 'std': 0.9801981600836066}}"
1,9,16.0,False,0.0,0.16666666666666666,6,5,SWITCH,ATTACK,0,40,28,0.7,29,13.525909688120768,13.525909688120768,3.4593184649098547,3.7113326125948753,3.7113326125948753,0.9491917166537978,3.6444886783304966,"{'bias_segment_0_end': {'mean': 3.7113326125948753, 'abs_mean': 3.7113326125948753, 'std': 0.9491917166537978}}"
1,10,15.0,True,0.3333333333333333,0.0,4,6,SWITCH,ATTACK,0,27,21,0.7777777777777778,18,11.428785711066958,11.867876951336788,4.503888436800721,1.922301256348716,1.996155615347246,0.7575459562718684,5.945366613750842,"{'bias_segment_0_end': {'mean': 1.922301256348716, 'abs_mean': 1.996155615347246, 'std': 0.7575459562718684}}"
1,11,-5.0,False,0.0,0.16666666666666666,6,1,SWITCH,ATTACK,0,69,32,0.463768115942029,63,11.328501579449975,12.589412704877557,10.793774736202463,5.13258990336595,5.703869314506362,4.890321887824554,2.2071706083551987,"{'bias_segment_0_end': {'mean': 5.13258990336595, 'abs_mean': 5.703869314506362, 'std': 4.890321887824554}}"
1,12,7.0,False,0.0,0.0,6,5,SWITCH,ATTACK,0,23,15,0.6521739130434783,14,17.581511460556634,17.581511460556634,2.252018474518662,17.95858909862274,17.95858909862274,2.300318406476039,-0.9790029363668095,"{'bias_segment_0_end': {'mean': 17.95858909862274, 'abs_mean': 17.95858909862274, 'std': 2.300318406476039}}"
